Customer_ID,Model_Code,Model_Name,Manufacturer,Release_Date,Activation_Date,Months_in_Use,Launch_Price,Network_Type,OS_Version,Storage_Capacity_GB,Battery_Health_Pct,Display_Size_Inch,RAM_GB,Processor,Camera_MP,Wireless_Charging,Biometric_Type,Remaining_Installment,Avg_Data_Usage_GB,Peak_Usage_Time,Wi_Fi_Ratio_Pct,Roaming_Count_1Yr,Tethering_Usage_GB,Top_App_Category,Connected_Devices_Count,Brand_Loyalty_Score,Avg_Replacement_Cycle_Months,Preferred_Channel,Subsidy_Type,Device_Insurance,Trade_in_Program,Bundling_Status,Repair_History_Count
CUST_0001,SM-S921,Galaxy S24,Samsung,2024-04-11,2024-08-14,20,1150000,5G,Android 14,256,85.8,6.8,8,Snapdragon Gen 3,200,Yes,Fingerprint,191666,69.29,02:00,37,1,10.11,Game,1,9,31,Online Shop,Selective Contract,No,Yes,Single,3
CUST_0002,23127PN0CG,Xiaomi 14,Xiaomi,2024-12-12,2025-04-01,12,900000,5G,Android 14,512,90.4,6.7,16,A17 Pro,108,Yes,Both,600000,14.19,14:00,78,0,19.46,Business,0,9,27,Agency,Selective Contract,Yes,Yes,Single,1
CUST_0003,23127PN0CG,Xiaomi 14,Xiaomi,2024-07-07,2024-08-27,20,900000,5G,Android 14,1024,86.7,6.7,8,A17 Pro,108,Yes,Both,400000,20.45,20:00,31,4,14.58,SNS,3,7,26,Agency,Device Subsidy,No,Yes,Single,0
CUST_0004,23127PN0CG,Xiaomi 14,Xiaomi,2024-04-26,2024-05-29,23,900000,5G,Android 14,256,88.7,6.7,12,A17 Pro,200,Yes,Face ID,325000,25.2,04:00,41,5,11.23,Video,3,10,30,Direct Store,Device Subsidy,Yes,No,Single,0
CUST_0005,SM-S921,Galaxy S24,Samsung,2024-12-03,2025-11-16,5,1150000,5G,Android 14,1024,97.6,6.7,16,Snapdragon Gen 3,108,Yes,Both,990277,41.25,23:00,24,5,17.7,Video,2,2,27,Direct Store,Device Subsidy,No,Yes,Internet+TV,2
CUST_0006,A2894,iPhone 14,Apple,2025-03-23,2026-02-06,2,1000000,5G,iOS 17,512,100.9,6.1,6,A17 Pro,108,No,Fingerprint,916666,19.52,03:00,56,2,4.79,SNS,0,2,41,Direct Store,Device Subsidy,Yes,Yes,Internet+TV,3
CUST_0007,A3106,iPhone 15 Pro,Apple,2022-11-11,2023-09-17,31,1550000,5G,iOS 17,1024,84.2,6.7,8,A17 Pro,200,No,Fingerprint,0,72.73,07:00,38,0,6.76,Shopping,1,10,25,Online Shop,Device Subsidy,Yes,Yes,Single,0
CUST_0008,23127PN0CG,Xiaomi 14,Xiaomi,2022-12-09,2023-04-09,36,900000,5G,Android 14,512,79.4,6.8,16,A17 Pro,200,Yes,Face ID,0,56.23,13:00,34,0,1.94,Business,2,7,31,Direct Store,Device Subsidy,Yes,Yes,Family,2
CUST_0009,SM-S921,Galaxy S24,Samsung,2024-09-29,2025-01-04,15,1150000,5G,Android 14,1024,88.8,6.1,8,Snapdragon Gen 3,200,Yes,Fingerprint,431250,31.46,20:00,79,0,19.38,SNS,1,7,33,Direct Store,Device Subsidy,No,Yes,Single,3
CUST_0010,SM-S928,Galaxy S24 Ultra,Samsung,2024-05-01,2024-12-19,16,1690000,5G,Android 14,512,89.9,6.7,8,Snapdragon Gen 3,48,Yes,Both,938888,19.71,10:00,17,0,11.68,Shopping,1,1,48,Agency,Device Subsidy,Yes,Yes,Internet+TV,0
CUST_0011,A3106,iPhone 15 Pro,Apple,2025-02-23,2025-12-11,4,1550000,5G,iOS 17,256,98.1,6.7,8,A17 Pro,108,Yes,Both,1291666,63.84,22:00,50,1,5.31,SNS,2,8,28,Online Shop,Device Subsidy,No,Yes,Single,4
CUST_0012,A2894,iPhone 14,Apple,2024-05-01,2024-07-07,21,1000000,5G,iOS 17,512,89.7,6.1,8,A17 Pro,108,Yes,Both,125000,40.11,17:00,48,5,2.07,SNS,2,2,46,Online Shop,Device Subsidy,No,No,Internet+TV,1
CUST_0013,23127PN0CG,Xiaomi 14,Xiaomi,2024-05-04,2025-01-17,15,900000,5G,Android 14,1024,89.5,6.7,12,A17 Pro,48,Yes,Face ID,337500,13.77,04:00,43,1,14.82,Shopping,3,9,18,Online Shop,Device Subsidy,Yes,Yes,Family,4
CUST_0014,A3106,iPhone 15 Pro,Apple,2025-02-07,2025-02-28,14,1550000,5G,iOS 17,512,90.8,6.1,6,A17 Pro,48,No,Both,645833,90.4,13:00,89,5,3.09,SNS,1,3,46,Direct Store,Device Subsidy,Yes,No,Family,1
CUST_0015,23127PN0CG,Xiaomi 14,Xiaomi,2025-03-19,2025-09-30,7,900000,5G,Android 14,128,98.0,6.7,12,A17 Pro,108,Yes,Fingerprint,637499,23.96,00:00,34,3,6.57,Game,2,6,38,Agency,Selective Contract,No,Yes,Single,2
CUST_0016,A2894,iPhone 14,Apple,2024-05-01,2024-05-20,23,1000000,5G,iOS 17,128,86.8,6.7,8,A17 Pro,48,No,Both,361111,74.21,06:00,42,0,14.18,Game,1,6,31,Online Shop,Selective Contract,No,Yes,Internet+TV,2
CUST_0017,23127PN0CG,Xiaomi 14,Xiaomi,2023-12-28,2024-07-21,21,900000,5G,Android 14,512,87.7,6.7,16,A17 Pro,50,No,Face ID,112500,44.94,17:00,10,2,5.74,Business,2,8,32,Direct Store,Device Subsidy,No,Yes,Internet+TV,0
